Species,massm,massf,k9m,k9f,testes,masst,cARE,aARE,aSRE,cSRE,c3,ccnd1,hk2,hklk,mvdp,p21,pb2,pem1,pem2,psa1,psa3,sc12,slp2,slp3
Aotus_nancymaae,813,736,5.34,4.81,1.2,1020,555,219,574,384,57,502,506,473,1255,50,191,371,501,893,252,478,499,984
Callithrix_jacchus,360,380,5.08,4.81,1.3,320,520,235,518,376,70,490,521,424,1052,49,180,327,528,858,262,466,608,917
Cebus_imitator,3680,2540,14.25,9.01,9.1,4800,532,192,529,381,56,490,501,433,1060,47,203,352,487,981,253,433,487,848
Cercocebus_atys,11000,6200,23.53,9.53,25.1,8680,604,244,589,331,48,549,543,521,1029,59,222,372,539,736,279,467,451,964
Cercopithecus_mona,4768,3700,17.76,9.32,,,537,227,617,334,61,529,566,500,1095,55,225,356,515,782,275,459,433,1020
Chlorocebus_sabaeus,5300,3300,19.82,14.24,13,4950,613,240,594,337,56,497,521,442,1052,49,210,350,520,741,257,455,425,921
Colobus_angolensis,9620,7770,17.66,9.57,3.447,10050,588,245,597,342,51,530,558,447,1034,52,223,360,523,722,268,428,444,916
Gorilla_gorilla,170400,71500,30.26,17.4,29.6,169000,541,202,599,333,50,499,526,453,1046,49,216,346,487,683,271,417,456,976
Homo_sapiens,62200,54800,10.85,9.97,40.5,66825,566,220,609,349,44,511,556,445,1073,66,245,353,492,728,267,446,466,943
Hylobates_moloch,6580,6250,18.32,15.79,6.1,5400,538,219,605,332,60,500,486,414,1070,58,225,349,526,748,234,410,434,895
Macaca_fascicularis,4810,3050,24.09,10.67,35.2,4420,591,231,594,314,59,552,535,474,1040,61,214,359,515,714,269,441,396,960
Macaca_fuscata,11000,8030,19.56,9.59,72.3,15400,608,255,647,342,63,961,576,514,1123,58,219,389,552,793,291,471,435,1026
Macaca_mulatta,6800,5180,16.97,8.19,46,9200,594,237,606,327,62,746,532,506,1058,56,214,367,525,750,278,458,426,985
Macaca_nemestrina,11200,6500,28.89,12.24,66.7,9980,609,237,617,339,60,570,554,541,1067,53,223,369,554,754,271,465,441,982
Mandrillus_leucophaeus,17000,10000,47.97,11.7,27.3,28500,602,237,618,335,56,655,540,491,1037,52,220,366,542,749,286,461,422,953
Mandrillus_sphinx,31600,12900,49.58,9.42,58.86,26900,611,238,595,335,51,576,565,486,1054,52,230,364,559,731,280,475,437,970
Nomascus_leucogenys,7790,7620,19.11,16.98,1.1,3430,546,216,571,330,61,495,504,384,1042,51,203,351,505,706,225,401,418,901
Pan_paniscus,45000,33200,15.56,11.24,135.2,39100,539,220,596,332,44,502,513,455,1031,55,219,360,449,697,255,426,432,904
Pan_troglodytes,59700,45800,21.72,15.26,128.9,44670,557,225,599,350,42,511,519,472,1035,62,217,365,466,724,256,441,452,962
Papio_anubis,24190,15810,35.43,15.95,78.42,26400,598,248,587,346,57,477,519,464,1057,54,210,349,524,745,269,466,433,954
Piliocolobus_tephrosceles,8360,8210,13.31,8.55,,,590,254,551,345,58,487,539,453,1018,51,206,356,525,721,261,408,427,905
Pongo_abelii,77900,35600,28,16.37,35.3,74640,587,214,611,353,47,505,537,453,1139,58,213,358,507,735,265,419,434,920
Rhinopithecus_roxellana,17900,11600,20.06,8,,,613,238,628,348,49,691,533,462,1064,52,245,381,546,775,280,473,440,923
Saimiri_boliviensis,1300,730,6.65,4.12,3.2,780,509,213,526,351,55,483,495,479,988,53,165,326,479,869,222,423,501,787
Theropithecus_gelada,19000,11700,39.62,12.27,19.3,20400,601,227,597,347,58,662,523,462,1043,55,211,350,525,728,277,458,421,967
Trachypithecus_francoisi,7700,7350,17.91,10.42,3.98,7450,599,256,610,350,45,733,543,470,1092,52,234,392,530,787,282,464,426,960